#
# Slashdot0902.txt clustering coefficient. G(82168, 948464). Average clustering: 0.0603  OpenTriads: 73175813 (0.9918)  ClosedTriads: 602592 (0.0082) (Wed Apr 29 17:22:37 2020)
#
# Node degree	Average clustering coefficient
865	0.114825
866	0.0546794
867	0.00913396
868	0.0707028
872	0.00449307
880	0.0063923
887	0.0179531
891	0.00684623
893	0.0411908
895	0.0143317
905	0.0205413
907	0.0112332
920	0.0195142
931	0.011376
940	0.00611337
954	0.0345243
974	0.00657169
990	0.0170062
997	0.0304678
1006	0.0718622
1015	0.0948465
1018	0.00979143
1024	0.0106192
1026	0.0173184
1027	0.0327802
1038	0.0277446
1050	0.00443842
1057	0.0175523
1102	0.000990685
1118	0.0115912
1132	0.0404148
1147	0.0147256
1167	0.028872
1176	0.0115249
1191	0.0170713
1207	0.00806322
1210	0.0252808
1231	0.0240581
1234	0.0120041
1242	0.00909859
1253	0.0253395
1254	0.0197099
1281	0.0167599
1290	0.00267082
1328	0.00818941
1329	0.0061722
1346	0.00900226
1349	0.00455832
1492	0.00669788
1645	0.0140962
1668	0.00618343
1674	0.00544653
1681	0.00983388
1799	0.0140984
1833	0.0336112
1956	0.00541159
2488	0.00486318
2554	0.00451783
3104	0.00463811
3430	0.00204138
3713	0.00224992
4540	0.00348013
4564	0.00417071
5064	0.00261653
